reference_path,query_path,reference_count,query_count,fingerprint_type,distance_type,mean_pairwise,mean_pairwise_median_threshold,s_min,knn,weighted_knn,chamfer,sinkhorn,centroid,MW2_GTM,RP_GTM,wRP_GTM,computation_time
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN20900_1.npz,1780,9998,precomputed,euclidean,185.34999067229177,145.19821085845533,115.58089887640449,124.69884831460675,115.9686762014408,23341.90646084273,1.0014641901293795,53.311738431674,,,,11.603965282440186
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN21133_1.npz,1780,9516,precomputed,euclidean,221.13854655199285,171.65490411971328,144.65955056179774,152.0289606741573,145.15723772294058,35434.64577152141,1.0231452744222769,97.42435697943327,,,,31.383413553237915
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN21371_1.npz,1780,9992,precomputed,euclidean,187.2085593193656,143.86563320128482,108.7752808988764,119.36311797752809,109.08312943268801,21872.19181547485,0.9901690619979912,44.24690641107719,,,,10.23790192604065
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN21510_1.npz,1780,9993,precomputed,euclidean,231.50688577509874,170.6047972603143,121.20112359550562,134.94224719101123,121.45026923281205,25539.8991521031,1.0271105294537832,90.74202936879819,,,,12.17609453201294
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN21535_1.npz,1780,8936,precomputed,euclidean,203.48854387756128,158.3589960095586,139.95561797752808,144.746797752809,140.593338336659,32061.14762983714,1.0310131221908687,78.5172235946099,,,,11.31408143043518
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN2164_1.npz,1780,9983,precomputed,euclidean,256.9402579328679,202.4254374001131,173.58483146067417,182.18587078651683,173.98040046120335,49955.03006960147,1.0275339723230974,118.83664879716771,,,,10.471814393997192
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN21671_1.npz,1780,9981,precomputed,euclidean,210.68978885725576,159.29192042855618,115.26741573033708,127.69151685393258,115.53017188976497,25056.619366234045,,66.31628100407839,,,,6.547283172607422
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN21726_1.npz,1780,9963,precomputed,euclidean,209.99052488589805,162.55928586839292,123.34831460674157,132.88702247191011,123.69702998503314,28099.016625897842,0.9863177986714634,63.38126497438554,,,,11.961204767227173
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN21886_1.npz,1780,9192,precomputed,euclidean,222.84326881704658,165.25150767277114,130.51516853932586,139.84317415730337,130.89192774946926,28657.14592659958,1.0414845108875446,92.57157876019231,,,,11.47101902961731
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN22605_1.npz,1780,9382,precomputed,euclidean,164.24779843784057,128.87860183417192,110.11235955056179,116.11758426966291,110.67859015065694,20807.787046915084,,35.18500268476552,,,,7.208964824676514
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN22698_1.npz,1780,9998,precomputed,euclidean,220.29368502914065,163.9850741490852,115.27752808988764,127.65483146067416,115.53146916221719,23726.610924432076,,75.75125695835787,,,,7.633849859237671
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN23553_1.npz,1780,9994,precomputed,euclidean,183.8616135973719,142.13476339678618,108.11123595505617,116.96629213483146,108.48757596042289,21712.388554031295,0.9946433464232316,50.382665281748,,,,10.391834497451782
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN23577_1.npz,1780,9727,precomputed,euclidean,182.16099880675011,140.0802128040098,123.16067415730338,127.29831460674157,123.83827828722885,25903.73393184499,1.0240602139287338,59.07424261069156,,,,12.00121784210205
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN23710_1.npz,1780,9833,precomputed,euclidean,169.18443597973803,134.190049649604,104.30393258426966,110.38637640449438,104.84075582468637,20021.250410564287,0.96757146604567,33.422759177089524,,,,11.187403917312622
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN23821_1.npz,1780,9933,precomputed,euclidean,169.901392532213,133.58879236051453,107.62584269662922,114.46991573033706,108.1148514823702,20919.57902010889,0.9884442869682775,37.12720219650532,,,,10.076532363891602
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN24292_1.npz,1780,7510,precomputed,euclidean,182.22572091144391,150.01015343003309,126.05280898876404,131.57286516853932,126.67611646020744,28032.74053771002,0.9893309948805324,59.4591445647877,,,,10.1065833568573
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN25794_1.npz,1780,9977,precomputed,euclidean,164.422268126804,125.94781571747396,106.74101123595506,113.07255617977529,107.30227624810117,18591.771196166916,1.010225564721826,42.48881510467281,,,,12.017181634902954
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN25873_1.npz,1780,9996,precomputed,euclidean,192.05581918160522,150.77501041247626,116.11516853932584,124.72073033707865,116.5283127379333,26186.60924594557,0.9960941812142863,59.81701081233314,,,,10.229279518127441
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN25915_1.npz,1780,9948,precomputed,euclidean,200.52371827887035,157.82688774882521,133.83258426966293,139.79185393258427,134.3494775661773,30463.074280641355,,66.25733118276024,,,,7.2248499393463135
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN25929_1.npz,1780,9996,precomputed,euclidean,243.341165230137,178.53028413122698,145.5696629213483,152.25859550561796,146.09505012056795,33454.056910854226,1.0358463305823522,117.39340337150593,,,,10.264847755432129
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN2611_1.npz,1780,9793,precomputed,euclidean,176.25553594232065,140.47296051600907,127.68033707865169,132.10912921348316,128.37130463343024,26918.931187204344,0.9949738012777469,47.29510654481281,,,,31.597874641418457
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN26526_1.npz,1780,9103,precomputed,euclidean,215.66404389465382,164.97014318291505,144.61404494382023,150.96235955056179,145.13208881738527,34868.63233228458,1.015669132497398,86.30497870991088,,,,10.174316883087158
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN26565_1.npz,1780,9953,precomputed,euclidean,265.69519985504905,193.63912396481706,131.51516853932586,143.44084269662923,131.7894689443987,29938.102685712736,1.0183176592871848,125.852987037198,,,,11.333077907562256
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN26744_1.npz,1780,9998,precomputed,euclidean,259.22810831829287,191.82231404171884,130.1803370786517,144.6925561797753,130.41049721904395,29512.354116778413,1.0218555747521516,112.50098285594123,,,,19.740533590316772
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN26806_1.npz,1780,9813,precomputed,euclidean,216.41881710457466,158.10124020984483,119.04662921348314,126.69162921348314,119.54417436509424,22933.68306002013,,84.1935647075749,,,,6.400928497314453
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN26950_1.npz,1780,9011,precomputed,euclidean,161.09338392900563,129.76850199124155,109.27359550561798,114.72047752808989,109.89870290444347,20224.983641404575,0.9767062167966641,40.637788166066194,,,,10.690419435501099
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN27279_1.npz,1780,10000,precomputed,euclidean,182.31786685393257,140.62681810332418,114.6556179775281,120.49564606741573,115.22461333876014,23657.173556179776,1.005647992050926,47.16816553246935,,,,10.065053939819336
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN2762_1.npz,1780,8499,precomputed,euclidean,185.99029978411207,140.78957024787974,127.49831460674157,132.70862359550563,128.0632080545777,26483.493077242398,1.043226289274542,66.26044981918474,,,,11.293225049972534
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN2780_1.npz,1780,9999,precomputed,euclidean,206.23058491242384,160.81168302627614,116.46966292134832,126.86609550561798,116.76111660523306,26428.831031193007,0.9850150279636207,63.29323747842135,,,,12.512009382247925
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN3087_1.npz,1780,9950,precomputed,euclidean,245.59056575009882,185.47123639623155,145.52528089887642,155.2986797752809,145.85999612174862,35103.95784032522,1.0242314929664018,109.43241615793814,,,,11.92394232749939
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN3298_1.npz,1780,10000,precomputed,euclidean,286.9614102247191,221.37531882370516,174.0061797752809,185.32679775280897,174.312093493746,47233.08237078652,1.028735332842414,160.63368418325607,,,,10.258977174758911
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN3723_1.npz,1780,10000,precomputed,euclidean,244.70327741573033,185.61199688641372,135.72247191011235,147.13662921348316,136.0419359074835,32878.88707303371,,103.4935178042672,,,,6.77183198928833
/home2020/home/infochimie/aorlov/similibria/data/dels_100/CHEMBL301.npz,/home2020/home/infochimie/aorlov/similibria/data/dels_100/mfp/EN3859_1.npz,1780,9055,precomputed,euclidean,207.50697876274205,162.0524300218106,141.07752808988764,146.5839606741573,141.6460739721631,32180.468217944028,,80.43419267838743,,,,6.701109886169434
